PlaceID,ParkName_Google,AvgRating_AllReviews,TotalReviews_All
ChIJQWLyspZ2hlQRcqZoordgcDc,Collingwood Park,4.4,114
ChIJQR19tJ1zhlQRHjXiVUw7YjQ,Quilchena Park,4.5,394
ChIJQwI_Q4RxhlQRJ-IPbxaY9Os,Harbour Green Park,4.7,2484
ChIJQcEWtE1yhlQRq5EvZuP3fYM,Margaret Pigott Park,4.7,282
ChIJSbuugZVzhlQRTdS00C0zXyY,Shaughnessy Park,4.4,253
ChIJSyp71WtxhlQReZtp3mzmPnY,Strathcona Park,4.0,840
ChIJU85SfvNyhlQROqo2GnhKkPY,Locarno Beach,4.7,250
ChIJTU9RhTJ0hlQReT_ozcd7LFU,Bobolink Park,4.4,361
ChIJVVQ1MipxhlQRJzWpvSkLUvs,Rupert Park,4.5,307
ChIJX_EtwUd0hlQRSqoCuc14Pjs,Ross Park,4.2,317
ChIJY-gCRX52hlQRZGZEgqY7bQU,Captain Cook Park,4.3,63
ChIJYTzEQeZwhlQRvYumbduROOs,New Brighton Park,4.5,1088
ChIJZ13eaDdxhlQR4XCkXOKSOAU,Garden Park,4.3,206
ChIJZyqg6a52hlQRP-UiMhm_Sdw,Brewers Park,4.5,132
ChIJ_V-LvhZ0hlQRPyVZcd83YiY,Memorial South Park,4.5,1572
ChIJXfWhew1zhlQRxF2EcUJj18U,Balaclava Park,4.4,257
ChIJ__wzVS9yhlQRXRtamFaDvyY,Morton Park,4.6,107
ChIJV40wYpJ2hlQRcNMAsizCLwY,Aberdeen Park,4.3,143
ChIJaVvpl891hlQRMxprW0l3Vgc,Riverfront Park,4.4,767
ChIJafAXZYhzhlQRZ1X6Zx94FeU,Oak Meadows Park,4.2,190
ChIJ____Ezt0hlQRbH4nQIeSKys,Gordon Park,4.3,428
ChIJU_7O9QdzhlQRT1nFVPrl2yE,Carnarvon Park,4.4,279
ChIJ0Y_5UwR0hlQR-iOTsGZ7xEw,Grays Park,4.3,372
ChIJ2YWjyVdzhlQRbrb5QTvwKQs,Deering Island Park,4.4,110
ChIJc-9iJdFwhlQRLBxxhG8Aos0,Adanac Park,4.3,373
ChIJ2Zs7K-FzhlQRUrWRcS8n4jE,Major Matthews Park,4.4,37
ChIJ2cKodkhxhlQRF9dd0FsDc14,McSpadden Park,4.3,376
ChIJ4bD6IF9xhlQRslSTYK4lOfM,Guelph Park,4.3,766
ChIJ4eZqHpBzhlQRbF5hkWtQPN8,Devonshire Park,4.2,72
ChIJ4w9s-VdxhlQRmt-tSScFR8I,Robson Park,4.4,390
ChIJ5XTCEFBxhlQRSX_XuEGkLJA,China Creek South Park,4.2,123
ChIJ2-nGU-RzhlQRg10wKBoIhv4,Mount Pleasant Park,4.5,689
ChIJ7U-FfOp2hlQRNtM0uW9ApMc,Cariboo Park,4.1,71
ChIJ7WHSBi9yhlQRdLXmpczA6wo,English Bay Beach Park,,0
ChIJ5xH-_PZyhlQR2oyzoLe8M-c,Jericho Beach Park,4.7,5152
ChIJ38kXhc1zhlQRSwgjFzVBDgE,Granville Island Water Park,4.5,938
ChIJ86zkaC9yhlQR4GhBA8iTiy4,English Bay Beach,4.7,18788
ChIJAStCZUBxhlQRNnG7eEcbtxw,Mosaic Creek Park,4.3,65
ChIJATo6iOV0hlQRFQbsRk6mgH0,Shaughnessy Street Park,4.1,87
ChIJ8aj4P550hlQRjTZU5Nstqok,Maple Grove Park,4.5,458
ChIJAUw1JNRzhlQRCnHVzI24sCs,Douglas Park,4.7,274
ChIJAWo0tC1yhlQRAL6Iz7Cs6G4,Sunset Beach Park,4.7,8912
ChIJBdOUdVhyhlQRf5X1qM6aus8,Jericho Beach,4.7,536
ChIJBdvqe1dyhlQR7Nf9Nd_YHIA,Hastings Mill Park,4.5,381
ChIJ5RWQau9zhlQR7QbpfAPnPME,Lilian To Park,4.3,76
ChIJC7uNpdd1hlQRud9Kp4snUtU,Everett Crowley Park,4.4,741
ChIJDyI5MmRxhlQRgNoRd-LruNU,Thornton Park,3.8,48
ChIJ91Xo0aRxhlQRRaOE88piwQ4,Rainbow Park,4.6,397
ChIJDdlYSlV1hlQR1hzKJVB7Ckc,Kinross South Park,4.4,31
ChIJEWq_7hhxhlQR_k-jUi4iX1I,Pandora Park,4.4,643
ChIJBzAe6bV2hlQRzPY-vJUxr-s,Beaconsfield Park,4.4,355
ChIJF0sFL3JxhlQRkjUfpiWMnXo,Oppenheimer Park,3.3,1247
ChIJC5SWvl90hlQRB89ZpxoUHI4,Winona Park,4.3,672
ChIJFZRR0DhxhlQRx0NrqkpG4x4,Victoria Park,4.3,316
ChIJF0eHNERzhlQRvbsIL32Zi6I,Musqueam Park,4.2,174
ChIJFZtqm6BzhlQRViBt0mI2ZIU,Trafalgar Park,4.4,264
ChIJG6h0OXt0hlQRY4B37Wd5hPs,Tisdall Park,4.3,370
ChIJFRGrHHtxhlQRAZVZlqaROSw,Andy Livingstone Park,4.0,1129
ChIJGc_YA2xxhlQRYCN8Qrra0a4,Strathcona Linear Park,4.1,49
ChIJF3ZzyvpyhlQR2PRpa6WD4yw,West Point Grey Park (Trimble Park),4.6,382
ChIJF391QrBzhlQRw86A7fL1egg,Arbutus Greenway Park,4.5,136
ChIJDa_CRR50hlQR6O1HYuG72ys,Jones Park,4.2,311
ChIJGxWYt5N2hlQRpSVP-1KR7mM,Gaston Park,4.3,436
ChIJI6DcWsNzhlQRkRpRrXP9q0w,Willow Park,3.7,77
ChIJJ0-wUspzhlQRKt_ZlwgVYYs,Seaforth Peace Park,4.1,71
ChIJJZf3XeBwhlQR85cMSoejEXw,Callister Park,4.3,151
ChIJcU6_Epx2hlQRNvEPUWuryHI,Earles Park,4.1,127
ChIJHUYfoDVyhlQRrGFzpe5fhaQ,Kitsilano Beach,4.7,1827
ChIJIxV11ZZyhlQR6lOWn2aTIlQ,Spanish Banks Off Leash Dog Area,4.7,1651
ChIJdWKlgZh2hlQRzqmlKiCHq5w,Norquay Park,4.3,594
ChIJdT38dmRxhlQRq93GlaDNzn4,Creekside Park,4.5,3042
ChIJfecbAzNxhlQRuPoXxBEQCio,Kaslo Park,4.2,89
ChIJg7fz5n50hlQRo9GXpVhSDlM,Montgomery Park,4.2,174
ChIJhQHU_z1xhlQRMzIBq7vJ02A,Salsbury Park,4.2,84
ChIJhShFK6p2hlQRScal2yKlk_Y,Kingcrest Park,4.4,135
ChIJi06rTb50hlQRBFFBzgkGIBM,Fraser River Park,4.5,942
ChIJicVMCYlxhlQRLly-YmGOfu4,Devonian Harbour Park,4.6,575
ChIJi1Mbee50hlQRKK0mG1GDtUc,Eburne Park,4.0,104
ChIJHTh_ntZzhlQRfufbHHTUOrY,Emery Barnes Park,4.3,1493
ChIJd7CrglFyhlQRhCfsNwzHzYE,Point Grey Road Park,4.6,177
ChIJGxBSE8h2hlQREGZuQbBmLk4,Renfrew Community Park,4.3,914
ChIJcbmkHLxzhlQRkMlWXjPgShU,Granville Park,4.3,278
ChIJi8uFFc9zhlQRsj44EqhKgzA,Sutcliffe Park,4.5,64
ChIJjyFfrRVxhlQRAM9mIepSnEo,Woodland Park,4.3,446
ChIJj9M8XCJ0hlQRPKFMohArkMo,Tecumseh Park,4.1,163
ChIJk9VbpjVyhlQRoPnK3Fg0pTg,Hadden Park,4.6,824
ChIJk2TkDgp0hlQRkWrt4bl_2QM,Riley Park,4.5,482
ChIJk1uxP2VzhlQRi5nrQ102bFA,Elm Park,4.3,136
ChIJj9LmgVJyhlQRMSv-tmobp8U,Tatlow Park,4.5,168
ChIJlRlWCz9xhlQREiA2lK11iBA,Grandview Park,4.3,998
ChIJJ_kBcVJxhlQRiqlikNPSCLY,Clark Park,4.4,518
ChIJK86qDpF0hlQRY2FkPtkYryw,Shannon Park,4.3,86
ChIJJdYerONwhlQRjHzqGcMZNHo,Burrard View Park,4.5,257
ChIJlTfKFFRxhlQRUctT1m7IU8c,Sunnyside Park,4.4,158
ChIJL9zIRYN2hlQRS0ojoIdUiPE,Killarney Park,4.4,1180
ChIJk11occl1hlQRUEwbZnbL6gc,Gladstone-Riverside Park,4.4,372
ChIJLQnMgZJyhlQRnRaqpqnAhgg,Spanish Banks Beach Park,4.7,3003
ChIJLWJQgpZ0hlQR7ZOtwMe5urQ,Riverview Park,4.3,121
ChIJKRZjqO50hlQRFUt8m76rzKw,Ebisu Park,4.3,115
ChIJM302BHF0hlQRqFOUt6e8n90,Columbia Park,4.3,157
ChIJj3G_rkdxhlQRwXb7n3u0aG8,CRAB Park at Portside,3.5,156
ChIJM2LXoixxhlQR6cOFWdWtq4w,Sunrise Park,4.5,408
ChIJM_hBYox0hlQRcujRUfx1r24,Oak Park,4.3,477
ChIJM4NmxEZxhlQRAM7rBUX3uN4,Alice Townley Park,4.0,82
ChIJMVTzBthzhlQRW6T6LQaOxoU,Coopers' Park,4.5,1398
ChIJMdSO6Wx0hlQRZVtjAbrtrW8,MacDonald Park,4.1,98
ChIJJc32Trl2hlQR8l9XDVPjlFM,Renfrew Ravine Park,4.2,178
ChIJKcr50CJxhlQRAfbaI6BCHD4,Templeton Park,4.3,100
ChIJO7VBr1p0hlQRkXQcCX3w55k,George Park,4.1,115
ChIJj76x_Wl0hlQRo_4SU8yo40k,Sunset Park,4.4,316
ChIJMzf4dmJxhlQRWGgp8cpI0eU,Hinge Park,4.4,768
ChIJP8TmK392hlQRs8kUSp-kvQI,Champlain Heights Park,4.3,433
ChIJP2cAOltxhlQROoXZvfN2rdY,China Creek North Park,4.4,677
ChIJm9c-2_tzhlQRCZ0h-hxuSaw,Prince Edward Park,4.4,343
ChIJNTdgR7N2hlQRsGx3wkOQ0sk,John Hendry Park (Trout Lake Park),4.6,3867
ChIJwwg2M65zhlQR4r-M83JybOI,Connaught Park,4.5,859
ChIJwzH1iPNyhlQRnNtrx--1dRo,Locarno Park,4.7,2413
ChIJO8AziRx0hlQRVI1T6sf_Gdo,Kensington Park,4.3,517
ChIJxxdSOONzhlQRSddacN9azVQ,Tea Swamp Park,4.3,122
ChIJy45ZONJzhlQR8LQwVz87pzA,May & Lorne Brown Park,4.1,69
ChIJy1jYS_RzhlQRAGB4_a8DoeI,Hillcrest Park,4.5,980
ChIJuxe5nuBzhlQRGzxeBtLX_90,Jonathan Rogers Park,4.4,868
ChIJz8ibx7ZzhlQRfNxBURpAlo0,Delamont Park,4.1,89
ChIJyc3aydFzhlQR43lpkTY-G0c,George Wainborn Park,4.6,1282
ChIJN7q5Ek9xhlQRnuYOz9pJpoM,W.C. Shelly Park,3.9,137
ChIJy5zamnVzhlQROs6bOMWf3m4,Prince of Wales Park,4.4,132
ChIJOTyt_ZdzhlQRszXvVBYi0ws,Angus Park,4.6,29
ChIJmWmNzdp2hlQRWjnSYGKO9j8,Falaise Park,4.3,350
ChIJnUSZ3VtxhlQRHp5L-dYmDbA,Sahalli Park,3.9,97
ChIJmfKAD_R0hlQR2etVxiSVvu8,Ash Park,4.3,210
ChIJmYd6Q8RzhlQRnQcUS9mQFVo,Choklit Park,4.5,86
ChIJp0x5YWF0hlQRYMKUL3U2BcE,Cambie Park,4.1,77
ChIJnRglPVFyhlQR03Sua9dIDi0,Jean Beaty Park,4.6,139
ChIJQ1sOFchzhlQRoXMYDrzBCi8,Burrard Slopes Park,4.4,73
ChIJp6Yu-ipyhlQRTLUcQSOMft8,Nelson Park,4.3,834
ChIJpcthL9tzhlQRctQyvr0X2MI,Charleson Park,4.6,1141
ChIJnfJjlE1yhlQR6fGIpVjE_9E,Volunteer Park,4.6,275
ChIJnVFsezVyhlQRf5O-Pe5uQ04,Kitsilano Beach Park,4.7,8802
ChIJq74VcLx2hlQRqTLGA5zPWJw,Slocan Park,4.3,583
ChIJqYcdRFRyhlQRaECLerpvnGU,McBride Park,4.4,274
ChIJqeRyDUxyhlQRhqdvgElWoRo,Point Grey Park Site at Trafalgar Street,4.6,308
ChIJqe3omWVxhlQRnQQZik9OmLk,Trillium Park,4.2,520
ChIJr31-jxtxhlQREFvHCIcvI48,Dr. Sun Yat-Sen Public Park,4.4,137
ChIJrzzU_y5yhlQR3gtnchw_YCI,Alexandra Park,4.4,103
ChIJta9pnIZxhlQRjOVLcnemBFE,Coal Harbour Park,4.7,327
ChIJt8HMwOp0hlQRoABp_Ffp65Q,William Mackie Park,4.3,79
ChIJtRQtKlBxhlQRaIjzYLWTH8c,Cedar Cottage Park,4.3,62
ChIJuRmp2ylyhlQRRRIBDobG380,Barclay Heritage Square Park,4.5,114
ChIJuRwPsR1xhlQRlVZ7Wa4LGok,McGill Park,4.2,62
ChIJmUG1iutzhlQRMbhW_oYYz6s,Heather Park,4.1,197
ChIJryDxBQB0hlQRbtirTQEAV5Y,Glen Park,4.2,239
ChIJM0glEqV2hlQRKWLMXS0IhBQ,General Brock Park,4.1,206
ChIJr5Ykeo1zhlQRxTFCPQi4ndQ,Braemar Park,4.1,120
ChIJu9PyFjBxhlQRcu77PZFWKM0,Clinton Park,4.4,478
ChIJxe0X69BzhlQRN8arE-4IpMY,David Lam Park,4.6,3654
ChIJaUl9s-t0hlQRgz7XB6izdek,Marpole Park,4.1,149
ChIJy6XHNhRzhlQRgMzwOxCqpZ0,Memorial West Park,4.5,255
ChIJ0f6r_RlzhlQRG3hs6hOQHDc,Chaldecott Park,4.4,249
ChIJ47iOlshzhlQRTY5NyGaKwuU,Granville Loop Park,4.3,610
ChIJbyrrMGxxhlQRY5TfOsP4DfI,MacLean Park,4.4,588
ChIJ7a4QtdhwhlQRJG5RiFTWPe4,Hastings Community Park,4.3,197
ChIJzy68lgFzhlQR3bAMfmlJakQ,Almond Park,4.3,180
